10:08:28:086 [ALWAYS]	GUDE Logging Started
10:08:28:087 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
10:08:28:087 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
10:08:28:087 [ERROR]	Initialize resume cache pointer failure
10:08:28:087 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
10:08:28:087 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
10:08:29:100 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
10:08:29:101 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
10:08:29:101 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
10:08:29:101 [ERROR]	Initialize resume cache pointer failure
10:08:29:101 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
10:08:29:101 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
